#  Wichita, Kansas November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1991-2024
# Missing: -99
Date,Value,Anomaly
195411,49.6,3.6
195511,41.2,-4.8
195611,44.2,-1.8
195711,41.9,-4.1
195811,48.5,2.5
195911,40.0,-6.0
196011,46.6,0.6
196111,41.9,-4.1
196211,45.4,-0.6
196311,47.4,1.4
196411,46.6,0.6
196511,50.3,4.3
196611,46.6,0.6
196711,44.0,-2.0
196811,42.5,-3.5
196911,45.3,-0.7
197011,42.3,-3.7
197111,44.7,-1.3
197211,40.6,-5.4
197311,47.5,1.5
197411,45.3,-0.7
197511,45.7,-0.3
197611,38.8,-7.2
197711,46.1,0.1
197811,45.0,-1.0
197911,41.8,-4.2
198011,46.9,0.9
198111,47.5,1.5
198211,43.5,-2.5
198311,46.1,0.1
198411,45.5,-0.5
198511,39.3,-6.7
198611,39.9,-6.1
198711,47.7,1.7
198811,47.4,1.4
198911,45.5,-0.5
199011,50.4,4.4
199111,39.5,-6.5
199211,41.2,-4.8
199311,40.7,-5.3
199411,46.7,0.7
199511,43.9,-2.1
199611,40.8,-5.2
199711,42.0,-4.0
199811,49.5,3.5
199911,53.3,7.3
200011,39.6,-6.4
200111,50.8,4.8
200211,44.2,-1.8
200311,45.8,-0.2
200411,47.1,1.1
200511,47.9,1.9
200611,48.1,2.1
200711,46.1,0.1
200811,46.1,0.1
200911,50.3,4.3
201011,46.4,0.4
201111,45.1,-0.9
201211,49.9,3.9
201311,43.9,-2.1
201411,40.8,-5.2
201511,50.0,4.0
201611,53.0,7.0
201711,47.9,1.9
201811,40.8,-5.2
201911,43.7,-2.3
202011,49.9,3.9
202111,48.4,2.4
202211,43.8,-2.2
202311,46.7,0.7
202411,49.4,3.4
